title,rank,date,artist,url,region,chart,trend,streams,year
Shape of You,1,2017-01-26,Ed Sheeran,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,United States,top200,SAME_POSITION,1478465.0,2017
Walk On Water (feat. Beyoncé),1,2017-11-14,Eminem,https://open.spotify.com/track/5b2QnYcT9rQIkhRWt4HztQ,United States,viral50,SAME_POSITION,,2017
rockstar,1,2017-09-19,"Post Malone, 21 Savage",https://open.spotify.com/track/1OmcAT5Y8eg5bUPv9qJT4R,United States,top200,SAME_POSITION,2695933.0,2017
Wolves,1,2017-10-30,"Selena Gomez, Marshmello",https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC,United States,viral50,NEW_ENTRY,,2017
HUMBLE.,1,2017-05-29,Kendrick Lamar,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,United States,top200,MOVE_UP,1797247.0,2017
Despacito - Remix,1,2017-06-25,"Luis Fonsi, Daddy Yankee, Justin Bieber",https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,United States,top200,SAME_POSITION,1511374.0,2017
rockstar,1,2017-10-12,"Post Malone, 21 Savage",https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx,United States,top200,SAME_POSITION,2492069.0,2017
Lemon,1,2017-11-07,"N.E.R.D, Rihanna",https://open.spotify.com/track/6tUgfsOa8PLkoede5nOR7D,United States,viral50,SAME_POSITION,,2017
1-800-273-8255,1,2017-09-09,"Logic, Alessia Cara, Khalid",https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV,United States,top200,SAME_POSITION,1457698.0,2017
Despacito - Remix,1,2017-06-27,"Luis Fonsi, Daddy Yankee, Justin Bieber",https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,United States,top200,SAME_POSITION,1579970.0,2017
rockstar,1,2017-10-08,"Post Malone, 21 Savage",https://open.spotify.com/track/1OmcAT5Y8eg5bUPv9qJT4R,United States,top200,SAME_POSITION,2220902.0,2017
rockstar,1,2017-10-17,"Post Malone, 21 Savage",https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx,United States,top200,SAME_POSITION,2557718.0,2017
Despacito - Remix,1,2017-07-09,"Luis Fonsi, Daddy Yankee, Justin Bieber",https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,United States,top200,SAME_POSITION,1381039.0,2017
2U (feat. Justin Bieber),1,2017-06-14,David Guetta,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M,United States,viral50,SAME_POSITION,,2017
Bank Account,1,2017-08-09,21 Savage,https://open.spotify.com/track/5eqK0tbzUPo2SoeZsov04s,United States,top200,SAME_POSITION,1179979.0,2017
It Ain't Me (with Selena Gomez),1,2017-02-21,Kygo,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe,United States,viral50,MOVE_UP,,2017
Q.E.P.D,1,2018-05-06,Wolty,https://open.spotify.com/track/0VaGR19qdoi0tf2EbTY3yN,Argentina,viral50,MOVE_UP,,2018
POP/STARS,1,2018-11-26,"K/DA, Madison Beer, (G)I-DLE, Jaira Burns, League of Legends",https://open.spotify.com/track/5sbooPcNgIE22DwO0VNGUJ,Brazil,viral50,NEW_ENTRY,,2018
